المحصول,المحافظة,نوع_التربة,طريقة_الري,جودة_البذور,نوع_السماد,كمية_السماد_بالكغم,الحرارة,الرطوبة,الإنتاج_بالدونم
خضراوات,كربلاء,طينية,تنقيط,محسنة,عضوي,80.0,32.9,46.7,1939.0
خضراوات,واسط,مختلطة,رش محوري,محسنة,داب (DAP),107.0,40.0,32.7,1658.0
تمور,ميسان,طينية,سيحي/غمر,محسنة,مركب (NPK),78.0,27.0,22.8,2100.0
خضراوات,البصرة,مختلطة,سيحي/غمر,محسنة,يوريا (N),70.0,35.4,47.0,1910.0
شعير,الموصل,طينية,رش محوري,محسنة,داب (DAP),103.0,22.2,61.0,1570.0
تمور,البصرة,طينية,رش محوري,عادية,عضوي,21.0,27.8,32.5,1492.0
شعير,الموصل,رملية,رش محوري,عادية,عضوي,33.0,36.8,39.6,1144.0
فواكه,الأنبار,طينية,رش محوري,محسنة,يوريا (N),43.0,25.7,36.9,2399.0
حنطة,بغداد,مختلطة,سيحي/غمر,عادية,يوريا (N),27.0,15.2,68.9,744.0
ذرة,بغداد,طينية,رش محوري,محسنة,داب (DAP),60.0,42.4,71.0,717.0
رز,كربلاء,رملية,سيحي/غمر,محسنة,عضوي,105.0,41.6,48.3,840.0
فواكه,بغداد,رملية,تنقيط,محسنة,داب (DAP),46.0,30.7,45.7,1572.0
حنطة,كربلاء,طينية,رش محوري,محسنة,مركب (NPK),34.0,37.7,33.7,777.0
خضراوات,النجف,رملية,رش محوري,محسنة,داب (DAP),76.0,18.2,47.4,1904.0
رز,ميسان,طينية,تنقيط,عادية,يوريا (N),20.0,21.8,45.6,1666.0
تمور,كربلاء,مختلطة,سيحي/غمر,عادية,يوريا (N),116.0,18.6,40.3,2691.0
حنطة,الأنبار,طينية,رش محوري,محسنة,داب (DAP),71.0,22.4,61.8,1388.0
حنطة,الأنبار,مختلطة,سيحي/غمر,عادية,داب (DAP),111.0,16.5,36.7,1497.0
فواكه,الموصل,رملية,رش محوري,عادية,مركب (NPK),87.0,17.4,42.2,1999.0
خضراوات,واسط,رملية,رش محوري,عادية,مركب (NPK),35.0,40.1,39.2,1105.0
خضراوات,بابل,مختلطة,تنقيط,عادية,مركب (NPK),38.0,25.5,25.8,2483.0
شعير,كربلاء,طينية,تنقيط,عادية,يوريا (N),108.0,21.3,52.5,1399.0
حنطة,ميسان,طينية,رش محوري,محسنة,عضوي,31.0,31.7,73.0,757.0
ذرة,البصرة,رملية,سيحي/غمر,عادية,عضوي,94.0,43.1,67.1,902.0
ذرة,ديالى,طينية,سيحي/غمر,عادية,عضوي,101.0,29.6,46.9,1609.0
حنطة,بابل,رملية,سيحي/غمر,عادية,عضوي,27.0,40.5,59.5,550.0
تمور,البصرة,مختلطة,رش محوري,عادية,داب (DAP),57.0,44.4,49.2,1877.0
تمور,واسط,طينية,تنقيط,عادية,يوريا (N),88.0,21.9,50.0,2355.0
خضراوات,بغداد,رملية,سيحي/غمر,عادية,يوريا (N),25.0,26.1,20.9,2150.0
رز,واسط,مختلطة,سيحي/غمر,عادية,مركب (NPK),104.0,20.7,36.1,1498.0
رز,ميسان,رملية,رش محوري,محسنة,عضوي,65.0,17.9,56.9,1495.0
شعير,ميسان,رملية,سيحي/غمر,عادية,يوريا (N),28.0,36.1,41.6,640.0
شعير,البصرة,طينية,سيحي/غمر,عادية,داب (DAP),26.0,30.0,67.9,1175.0
رز,البصرة,مختلطة,رش محوري,عادية,عضوي,106.0,35.2,39.7,1310.0
شعير,النجف,رملية,رش محوري,محسنة,عضوي,61.0,39.7,41.6,803.0
خضراوات,واسط,طينية,تنقيط,عادية,داب (DAP),115.0,30.9,52.4,3335.0
خضراوات,الموصل,رملية,رش محوري,محسنة,يوريا (N),82.0,28.0,64.6,2250.0
رز,كربلاء,طينية,سيحي/غمر,محسنة,داب (DAP),20.0,28.3,34.4,875.0
حنطة,واسط,طينية,تنقيط,عادية,مركب (NPK),88.0,33.4,45.2,1181.0
تمور,واسط,طينية,سيحي/غمر,عادية,عضوي,88.0,17.8,38.7,2197.0
شعير,ميسان,طينية,تنقيط,عادية,يوريا (N),113.0,34.5,22.9,1656.0
رز,بابل,رملية,رش محوري,محسنة,داب (DAP),115.0,40.7,59.5,908.0
شعير,كربلاء,طينية,تنقيط,عادية,عضوي,31.0,26.6,58.6,961.0
